kituu[V][Intr][Intrg][S_2Sg]	kituusit
irniar-–ngqerr[N→V][V][Intr][Intrg][S_2Du]	irniangqercetek
qavcir-%:~(ng)u[N→V][V][Intr][Intrg][S_2Pl]	qavciuceci
kinku-%:~(ng)u[N→V][V][Intr][Intrg][S_2Pl]	kinkuuceci
ca-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_1Pl]	caciqceta
ca-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_1Du]	caciqceńuk
ca-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_1Sg]	caciqsia
ayag-–ksaite[V→V][V][Intr][Intrg][S_2Sg]	ayaksaicit
uita[V][Intr][Intrg][S_1Sg]	uitasia
nere[V][Intr][Intrg][S_3Sg]	nerʼa
qavar[V][Intr][Intrg][S_3Pl]	qavartat
qia[V][Intr][Intrg][S_3Du]	qiagak
kitu-%:~(ng)u[N→V][V][Intr][Intrg][S_3Sg]	kituuga
kinku-%:~(ng)u[N→V][V][Intr][Intrg][S_3Pl]	kinkuugat
ca-%:~(ng)u[N→V][V][Intr][Intrg][S_3Sg]	cauga
ayuqe[V][Intr][Intrg][S_3Sg]	ayuqa
ca-–kucir[N→N]-%:~(ng)u[N→V][V][Intr][Intrg][S_3Sg]	cakuciuga
qavcir-%:~(ng)u[N→V][V][Intr][Intrg][S_3Pl]	qavciugat
pi[V][Intr][Intrg][S_3Sg]	pia
qangvar-–llar*[N→N]-%:~(ng)u[N→V][V][Intr][Intrg][S_3Sg]	qangvallauga
nante[V][Intr][Intrg][S_3Sg]	nanta
piliaqe[V][Trns][Intrg][A_3Sg][P_3Sg]	piliaqau
nere-–llru[V→V][V][Trns][Intrg][A_3Sg][P_3Sg]	nerellruagu
tangerr-@~+yug[V→V][V][Trns][Intrg][A_3Sg][P_1Sg]	tangerrsugtanga
ceńirte-+ciqe–/@ciiqe[V→V][V][Trns][Intrg][A_3Sg][P_2Sg]	ceńirciiqaten
atsar-––lir[N→V][V][Intr][Ind][S_3Sg]	atsalirtuq
atsar-––lir[N→V][V][Intr][Ind][S_3Sg]	atsirtuq
atsar-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	atsaliraa
atsar-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	atsiraa
aki-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	akiliraa
imar-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	imiraa
imar-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	imaliraa
kener-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	keniraa
ater-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	aciraa
ater-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	atʼliraa
qimugte-––lir[N→V][V][Intr][Ind][S_3Sg]	qimugtelirtuq
qimugte-––lir[N→V][V][Intr][Ind][S_3Sg]	qimugcirtuq
aipar-––lir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	aipiraa
kipusvig-––liur[N→V][V][Intr][Ind][S_3Sg]	kipusviliurtuq
angyar-––liur[N→V][V][Intr][Ind][S_3Sg]	angyaliurtuq
angyar-––liur[N→V][V][Intr][Ind][S_3Sg]	angyiurtuq
ii-––liur[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	iiliuraa
equg-––liur[N→V][V][Intr][Ind][S_3Sg]	eqiurtuq
nuyar-––liur[N→V][V][Intr][Ind][S_3Sg]	nuyiurtuq
uyaqur-––liqe[N→V][V][Intr][Ind][S_1Sg]	uyaquliqua
uyaqur-––liqe[N→V][V][Intr][Ind][S_1Sg]	uyaqiqua
aqsar-––liqe[N→V][V][Intr][Ind][S_3Sg]	aqsiquq
aqsar-––liqe[N→V][V][Intr][Ind][S_3Sg]	aqsaliquq
qamiqur-––liqe[N→V][V][Intr][Ind][S_3Sg]	qamiqiquq
qamiqur-––liqe[N→V][V][Intr][Ind][S_3Sg]	qamiquliquq
ciute-––liqe[N→V][V][Intr][Ind][S_3Sg]	ciuciquq
ciute-––liqe[N→V][V][Intr][Ind][S_3Sg]	ciuteliquq
kaviar*-––liqe[N→V][V][Intr][Ind][S_3Sg]	kavialiquq
kaviar*-––liqe[N→V][V][Intr][Ind][S_3Sg]	kaviiquq
neqe-––liqe[N→V][V][Intr][Ind][S_3Sg]	neqʼliquq
utaqa-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	utaqaurarait
utaqa-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	utaqaurallruut
utaqa-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	utaqaurtut
qalarute-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	qalaruqurarait
qalarute-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	qalaruqurallruut
qalarute-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	qalaruquʼurtut
igar-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	igarturarait
igar-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	igarturallruut
igar-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	igarturtut
igar-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	igartuʼrtut
nere-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	nerʼurarait
nere-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	nerʼurallruut
nere-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	nerʼurtut
nere-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	nerʼuʼrtut
kiu-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	kiugurarait
kiu-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	kiugurtut
kiu-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	kiuguʼrtut
ceńirte-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	ceńirqurarait
ceńirte-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	ceńirqurallruut
ceńirte-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	ceńirqurtut
ceńirte-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	ceńirquʼrtut
iqvar-@+'(g/t)ur(ar)[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	iqvarturarait
iqvar-@+'(g/t)ur(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	iqvarturallruut
iqvar-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	iqvarturtut
iqvar-@+'(g/t)ur(ar)[V→V][V][Intr][Ind][S_3Pl]	iqvartuʼrtut
