cali[V][Intr][Opt][PRS][S_2Sg]	cali
maa[DemAdv][Via]+gguir[N→V][V][Intr][Ind][S_3Sg]	maagguirtuq
maa[DemAdv][Loc]-ete[N→V][V][Intr][Ind][S_3Sg]	maantuq
aci[Positional][Sec_Ter]+tmurte[N→V][V][Intr][Ind][S_3Sg]	acitmurtuq
qule[Positional][Sec_Ter]+tmurte[N→V][V][Intr][Ind][S_3Sg]	quletmurtuq
ciu[Positional][Sec_Ter]+tmurte[N→V][V][Intr][Ind][S_3Sg]	ciutmurtuq
kingu[Positional][Sec_Ter]+tmurte[N→V][V][Intr][Ind][S_3Sg]	kingutmurtuq
qule[Positional]-–qsig[N→V][V][Intr][Ind][S_3Sg]	quleqsigtuq
ilu[Positional]-–qsig[N→V][V][Intr][Ind][S_3Sg]	iluqsigtuq
yaa[DemAdv]-–qsig[N→V][V][Intr][Ind][S_3Sg]	yaaqsigtuq
uk[DemPro][Abs][Unpd][Sg]	ukna
ukegku[DemPro][Abs][Unpd][Pl]	ukegkut
uka[DemAdv][Loc]	ukani
un[DemPro][Abs][Unpd][Sg]	unʼa
unʼu[DemPro][Abl_Mod][Unpd][Sg]	unʼumek
unku[DemPro][Abs][Unpd][Pl]	unkut
una[DemAdv][Loc]	unani
ag[DemPro][Abs][Unpd][Sg]	agna
agaa[DemAdv][Loc]	agaani
am[DemPro][Abs][Unpd][Sg]	amna
ama[DemAdv][Loc]	amani
akem[DemPro][Abs][Unpd][Sg]	akemna
akʼmu[DemPro][Abl_Mod][Unpd][Sg]	akʼmumek
akemku[DemPro][Abs][Unpd][Pl]	akemkut
akma[DemAdv][Loc]	akmani
