nere[V][Trns][Ind][A_1Sg][P_3Sg]	nerʼaqa
ini-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	iniiguq
ini[V][Trns][Ind][A_3Sg][P_3Sg]	inia
pai-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	paigiuq
pai[V][Trns][Ind][A_3Sg][P_3Pl]	paigai
pai[V][Intr][Ind][S_3Sg]	paiguq
kuve-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	kuvʼiuq
kuve[V][Trns][Ind][A_3Sg][P_3Sg]	kuvaa
kuve[V][Intr][Ind][S_3Sg]	kuvʼuq
kitugte-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	kitugciuq
kitugte[V][Trns][Ind][A_3Sg][P_3Sg]	kitugtaa
elitnaur-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	elitnauriuq
elitnaur[V][Trns][Ind][A_3Sg][P_3Pl]	elitnaurai
elitnaur[V][Intr][Ind][S_3Sg]	elitnaurtuq
aqva-@:(u)te[V→V][V][Intr][Ind][S_3Sg]	aqvatuq
aqva-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	aqvaiguq
ikayur-@:(u)te[V→V][V][Intr][Ind][S_3Sg]	ikayuutuq
ikayur-+'(g)i[V→V][V][Intr][Ind][S_3Sg]	ikayuriuq
nalke-@:(u)te[V→V][V][Intr][Ind][S_3Sg]	nalkutuq
tegu-@:(u)te[V→V][V][Intr][Ind][S_3Sg]	tegutuq
irniar[N][Abs][4SgPoss][SgPosd]	irniani
irniar[N][Abs][4SgPoss][PlPosd]	irniani
irniar[N][Abs][4PlPoss][SgPosd]	irniateng
irniar[N][Abs][4PlPoss][PlPosd]	irniateng
qasper[N][Abs][4SgPoss][SgPosd]	qaspeni
qasper[N][Abs][4SgPoss][PlPosd]	qaspeni
angyar[N][Abs][4PlPoss][SgPosd]	angyateng
angyar[N][Abs][4PlPoss][PlPosd]	angyateng
pi[N][Abs][4PlPoss][PlPosd]	piteng
kuimar-@~+yugnga[V→V][V][Intr][Ind][S_1Sg]	kuimaryugngaunga
atur-@~+yugnga[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	aturyugngaaqa
mingqe-@~+yugnga[V→V][V][Intr][Ind][S_2Sg]=qaa[Encl]	mingeqsugngauten-qaa
kitugte-@~+yugnga[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kitugcugngaa
nere-+(s)ciigate[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	neresciigatanka
pi-+(s)ciigate[V→V][V][Intr][Ind][S_1Sg]	pisciigatua
atur-+(s)ciigate[V→V][V][Trns][Ind][A_1Pl][P_3Pl]	aturciigataput
qavar-+(s)ciigate[V→V]-–llru[V→V][V][Intr][Ind][S_1Sg]	qavarciigatellruunga
kitugte-+(s)ciigate[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	kitugtesciigataqa
kitugte-+(s)ciigate[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	kitugcesciigataqa
nere-–lar[V→V][V][Trns][Ind][A_3Pl][P_3Pl]	nerlarait
yurar-–lar[V→V][V][Intr][Ind][S_3Sg]	yuralartuq
taqe-–lar[V→V][V][Intr][Ind][S_3Pl]	taqʼlartut
uita-–lar[V→V][V][Intr][Ind][S_3Sg]	uitalartuq
atur-–lar[V→V]-–llru[V→V][V][Intr][Ind][S_3Pl]	atulallruut
cali-@~–yuite[V→V][V][Intr][Ind][S_3Sg]	caliyuituq
yurar-@~–yuite[V→V][V][Intr][Ind][S_3Sg]	yurayuituq
taqe-@~–yuite[V→V][V][Intr][Ind][S_3Sg]	taqsuituq
nuteg-@~–yuite[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	nutyuitanka
elitnaur-+'(g)i[V→V]-+(s)te[V→N][N][Abs][Unpd][Sg]	elitnaurista
yungcar-+'(g)i[V→V]-+(s)te[V→N][N][Abs][Unpd][Sg]	yungcarista
cali-+(s)te[V→N][N][Abs][Unpd][Sg]	calista
pi-+(s)te[V→N][N][Abs][Unpd][Sg]	pista
nere-+(s)te[V→N][N][Abs][Unpd][Sg]	neresta
agayu-––lir[N→V]-+(s)te[V→N][N][Abs][Unpd][Sg]	agayulirta
qimug-+(s)te[V→N][N][Abs][Unpd][Sg]	qimugta
tegu-+(s)te[V→N][N][Abs][Unpd][Sg]	tegusta
pai-+'(g)i[V→V]-+(s)te[V→N][N][Abs][Unpd][Sg]	paigista
yurar-+(s)te[V→N][N][Abl_Mod][Unpd][Pl]	yurarteńek
ikayur-+(s)te[V→N]-–ngqerr[N→V]-+ciqe/@ciiqe[V→V][V][Intr][Ind][S_2Sg]	ikayurtengqerciquten
cali-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	calissuun
nere-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	nerrsuun
tenge-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	tengssuun
igar-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	igarcuun
mingqe-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	mingqessuun
mingqe-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	mingeqsuun
iqar-:(ng)ir[N→V]-+'(g)i[V→V]-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	iqairissuun
niicugni-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	niicugnissuun
qavar-+cuute/+ssuute[V→N][N][Abs][Unpd][Sg]	qavarcuun
pissur-+cuute/+ssuute[V→N]-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	pissurcuutnguuq
niicugni[V][Trns][Opt][A_2Sg][P_3Sg]	niicugniu
pai[V][Trns][Opt][A_2Sg][P_3Sg]	paigiu
nere[V][Trns][Opt][A_2Sg][P_3Sg]	neriu
ceńirte[V][Trns][Opt][A_2Sg][P_3Sg]	ceńiresgu
nere-–nrite[V→V][V][Trns][Opt][A_2Sg][P_3Sg]	nerenrilgu
nuteg[V][Trns][Opt][A_2Sg][P_3Sg]	nutgu
igar[V][Trns][Opt][A_2Sg][P_3Sg]	igarru
nere[V][Trns][Opt][FUT][A_2Sg][P_3Sg]	nerkiu
nere[V][Trns][Opt][FUT][NEG][A_2Sg][P_3Sg]	neryaqunaku
