nere[V][Intr][Opt][PRS][S_2Sg]	neri
anglani-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	anglaniaguq
muru-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	muruaguq
pissur-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	pissuartuq
kuime-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	kuimartuq
iver-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	ivrartuq
iter-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	itrartuq
qaner-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	qanaaguq
uver-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	uvaaguq
ceńirte-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	ceńirtaartuq
nengte-–a/–ar/–aa/+a/+aar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	nengtaaraa
iter-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	itertaartuq
tai-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	taigartuq
tai-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	taigaʼrtuq
eke-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	ekʼartuq
eke-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	ekʼaʼrtuq
ayag-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	ayagartuq
ayag-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	ayagaʼrtuq
igvar-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	igvaartuq
mitʼe-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	misʼartuq
mitʼe-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	misʼaʼrtuq
kitʼe-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	kisʼartuq
kitʼe-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	kisʼaʼrtuq
makte-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	makʼartuq
makte-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	makʼaʼrtuq
uterte-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	utʼrartuq
uterte-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	utʼraʼrtuq
elite-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	eligartuq
elite-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	eligaʼrtuq
niite-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	niigartuq
niite-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	niigaʼrtuq
pi-@~+yug[V→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	piyungartuq
pi-@~+yug[V→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	piyungaʼrtuq
temci-@~+yug[V→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	temciyungartuq
temci-@~+yug[V→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	temciyungaʼrtuq
alike-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	alikengaʼartaqa
aug-–nge[N→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	aungartuq
aug-–nge[N→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	aungaʼrtuq
cali-+'(g)arkar[V→N]-––lir[N→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	caliarkalingartuq
cali-+'(g)arkar[V→N]-––lir[N→V]-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	caliarkalingaʼrtuq
uyangte-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	uyangartuq
uyangte-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	uyangaʼrtuq
qiilerte-–nge[V→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	qiilengaʼartuq
puqla-–nge[N→V]-@+(g)ar(ar)te[V→V][V][Intr][Ind][S_3Sg]	puqlangaʼartuq
iter-–qerte[V→V][V][Intr][Ind][S_3Sg]	itqertuq
iter-–qerte[V→V][V][Intr][Ind][S_3Sg]	itqeʼrtuq
ane-–qerte[V→V][V][Intr][Ind][S_3Sg]	anqertuq
mayur-–qerte[V→V][V][Intr][Ind][S_3Sg]	mayuqertuq
mayur-–qerte[V→V][V][Intr][Ind][S_3Sg]	mayʼuqertuq
mayur-–qerte[V→V][V][Intr][Ind][S_3Sg]	masqertuq
mayur-–qerte[V→V][V][Intr][Ind][S_3Sg]	masqeʼrtuq
nenge-–qerte[V→V][V][Intr][Ind][S_3Sg]	nengqertuq
nenge-–qerte[V→V][V][Intr][Ind][S_3Sg]	nengqeʼrtuq
qerar-–qerte[V→V][V][Intr][Ind][S_3Sg]	qerʼaqertuq
uterte-–qerte[V→V][V][Intr][Ind][S_3Sg]	utqertuq
qavar-–qar[V→V][V][Intr][Ind][S_3Sg]	qavaqertuq
qavar-–qar[V→V][V][Intr][Sbrd][P_3Sg]	qavaqerluni
mayur-–qar[V→V][V][Intr][Sbrd][P_3Sg]	mayʼuqerrluni
ayag-–qar[V→V][V][Intr][Ind][S_3Sg]	ayakartuq
tupag-–qar[V→V][V][Intr][Ind][S_3Sg]	tupakartuq
quuyurni-–llag[V→V][V][Intr][Ind][S_3Sg]	quuyurnillagtuq
ngelʼar-–llag[V→V][V][Intr][Ind][S_3Sg]	ngelʼallagtuq
qalrir-–llag[V→V][V][Intr][Ind][S_3Sg]	qalrillagtuq
ellngar-–llag[V→V][V][Intr][Ind][S_3Sg]	ellngallagtuq
alinge-–llag[V→V][V][Intr][Ind][S_3Sg]	alingallagtuq
aqume-–llag[V→V][V][Intr][Ind][S_3Sg]	aqumkallagtuq
tegu-–ler[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	teguleraa
qaner-–ler[V→V][V][Intr][Ind][S_3Sg]	qanlertuq
nere-–ler[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	nerleraa
puge-–ler[V→V][V][Intr][Ind][S_3Sg]	puglertuq
kegge-–ler[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kegleraa
pegte-–ler[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	pegleraa
nere-–laag[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	nerlaagaa
makte-–laag[V→V][V][Intr][Ind][S_3Sg]	maktelaagtuq
igte-@~+yuar[V→V][V][Intr][Ind][S_3Sg]	igcuartuq
tuqu-@~+narqe[V→V]-@~+yuar[V→V][V][Intr][Ind][S_3Pl]	tuqunaqsuartut
tangerr-@~+yuar[V→V][V][Trns][Ind][A_3Pl][P_3Sg]	tangerrsuaraat
qimag-@~+yuar[V→V][V][Intr][Ind][S_3Pl]	qimagyuartut
taqe-@~+niar[V→V][V][Intr][Ind][S_1Sg]	taqniartua
ciite-@~+niar[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	ciitniaraqa
qanir-–nge[V→V]-@~+niar[V→V][V][Intr][Intrg][S_3Sg]	qaningniarta
uterte-@~+niar[V→V][V][Intr][Ind][S_1Sg]	uterrniartua
emute-–nqigte[V→V]-@~+niar[V→V][V][Intr][Ind][S_2Sg]	emutenqiggniartuten
