ui[N][Abs][3SgPoss][SgPosd]	uinga
au͡gʼu[DemPro][Rel][Unpd][Sg]	au͡gʼum
tau[DemPro][Rel][Unpd][Sg]	taum
arnar[N][Rel][Unpd][Pl]	arnat
uku[DemPro][Abs][Unpd][Pl]	ukut
uku[DemPro][Rel][Unpd][Pl]	ukut
au͡gku[DemPro][Abs][Unpd][Du]	au͡gkuk
au͡gku[DemPro][Rel][Unpd][Du]	au͡gkuk
aipar[N][Abs][3SgPoss][SgPosd]	aipaa
ila[N][Abs][3SgPoss][SgPosd]	ilii
ila[N][Abs][3SgPoss][PlPosd]	ilai
ila[N][Abs][3PlPoss][SgPosd]	iliit
ila[N][Abs][3PlPoss][PlPosd]	ilait
ila[N][Abs][1PlPoss][PlPosd]	ilaput
anyar[N][Ter][3SgPoss][SgPosd]	angyaanun
[e]ne[N][Loc][3PlPoss][PlPosd]	enaitni
neqliller[N][Abl_Mod][3DuPoss][SgPosd]	neqlillragnek
angyar[N][Via][3SgPoss][SgPosd]	angyaakun
angyar[N][Via][3PlPoss][SgPosd]	angyaatgun
angyar[N][Equ][3SgPoss][SgPosd]	angyaatun
angyar[N][Equ][3PlPoss][SgPosd]	angyaacetun
angyar[N][Ter][3SgPoss][SgPosd]	angyaanun
aci[N][Abs][3SgPoss][SgPosd]	acia
aki[N][Abl_Mod][3SgPoss][SgPosd]	akianek
canir[N][Abs][3SgPoss][SgPosd]	cania
ciu[N][Abs][3SgPoss][SgPosd]	ciunga
elate[N][Abs][3SgPoss][SgPosd]	elatii
ilu[N][Abs][3SgPoss][SgPosd]	ilua
kelu[N][Abs][3SgPoss][SgPosd]	kelua
kete[N][Abs][3SgPoss][SgPosd]	ketii
kingu[N][Abs][3SgPoss][SgPosd]	kingua
pai[N][Abs][3SgPoss][SgPosd]	painga
qai[N][Abs][3SgPoss][SgPosd]	qainga
qule[N][Abs][3SgPoss][SgPosd]	qulii
qule[N][Loc][3SgPoss][SgPosd]	quliini
qule[Loc][3SgPoss][SgPosd]-ete[N→V][V][Intr][Ind][S_3Sg]	quliinetuq
aci[N][Ter][3SgPoss][SgPosd]	acianun
pai[N][Loc][3SgPoss][SgPosd]	paingani
ciu[N][Loc][3SgPoss][SgPosd]	ciungani
kelu[N][Loc][3SgPoss][SgPosd]	keluani
kete[N][Loc][3SgPoss][SgPosd]	ketiini
qai[N][Abl_Mod][3SgPoss][SgPosd]	qainganek
yaate[N][Loc][3SgPoss][SgPosd]	yaatiini
avate[N][Loc][3SgPoss][SgPosd]	avatiini
kiate[N][Loc][3SgPoss][SgPosd]	kiatiini
uate[N][Loc][3SgPoss][SgPosd]	uatiini
amate[N][Loc][3SgPoss][SgPosd]	amatiini
ukate[N][Loc][3SgPoss][SgPosd]	ukatiini
amate[N][Abs][3SgPoss][SgPosd]	amatii
aki[N][Abs][3SgPoss][SgPosd]	akia
yaate[N][Abs][3SgPoss][SgPosd]	yaatii
avate[N][Abs][3SgPoss][SgPosd]	avatii
iqa-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	iqaciquq
ane-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	anciquq
kuve-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	kuvciquq
alinge-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	alingeciquq
alinge-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	alingciquq
inarte-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	inarciiquq
qavar-+ciqe–/@ciiqe[V→V][V][Intr][Ind][S_3Sg]	qavarciquq
tekite-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	tekisngaituq
mitʼe-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	misngaituq
kipute-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	kipusngaituq
inarte-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	inarrngaituq
ceńirte-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	ceńirrngaituq
igte-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	iggngaituq
cali-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	calingaituq
ayuqe-@~+ngaite[V→V][V][Intr][Ind][S_3Du]	ayuqngaituk
qavar-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	qavarngaituq
puqig-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	puqigngaituq
nanite-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	nanilngaituq
imaite-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	imailngaituq
qerrute-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	qerrusngaituq
kumlate-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]	kumlalngaituq
maqi-@~+vig[V→N][N][Abs][Unpd][Sg]	maqivik
agayu-@~+vig[V→N][N][Abs][Unpd][Sg]	agayuvik
nere-@~+vig[V→N][N][Abs][Unpd][Sg]	nervik
ane-@~+vig[V→N][N][Abs][Unpd][Sg]	anvik
taqe-@~+vig[V→N][N][Abs][Unpd][Sg]	taqvik
kipute-@~+vig[V→N][N][Abs][Unpd][Sg]	kipusvik
mitʼe-@~+vig[V→N][N][Abs][Unpd][Sg]	misvik
inarte-@~+vig[V→N][N][Abs][Unpd][Sg]	inarrvik
qavar-@~+vig[V→N][N][Abs][Unpd][Sg]	qavarvik
elitnaur-@~+vig[V→N][N][Abs][Unpd][Sg]	elitnaurvik
ma[DemPro]-–kucir[N→N][N][Abs][Unpd][Sg]	makuciq
tau[DemPro]-–kucir[N→N][N][Abs][Unpd][Sg]	taukuciq
im[DemPro]-–kucir[N→N][N][Abs][Unpd][Sg]	imkuciq
im[DemPro]-–kucir[N→N][N][Via][Unpd][Sg]	imkucikun
angyar-–kucir[N→N][N][Abl_Mod][3SgPoss][SgPosd]	angyakucianek
