kaig-@~+ni[V→V][V][Intr][Ind][S_3Sg]	kaigniuq
ayag-%%(e)sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	ayaasqaa
ayag-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	ayasqaa
kuve-+'(g)i[V→V]-–sqe[V→V]-–nrite[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kuvʼisqenritaa
kuve-+'(g)i[V→V]-–sqe[V→V]-+peke/.vke[V→V][V][Trns][Sbrd][P_3Sg]	kuvʼisqevkenaku
qia-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qiavkaraa
mingqe-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	mingqevkaraa
aqui-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	aquivkaraa
erur-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	erurivkaraa
iter-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Pl]	itercetai
callmag-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	callmagcetaa
inarte-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	inartevkaraa
inarte-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	inarcetaa
alinge-@~+ni[V→V][V][Intr][Ind][S_3Sg]	alingniuq
alinge-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	alingnia
alike-@~+ni[V→V][V][Intr][Ind][S_3Sg]	alikniuq
alike-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	aliknia
alinge-@~+nayuke[V→V][V][Intr][Ind][S_3Sg]	alingnayukuq
alinge-@~+nayuke[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	alingnayukaa
alike-@~+nayuke[V→V][V][Intr][Ind][S_3Sg]	aliknayukuq
alike-@~+nayuke[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	aliknayukaa
ikayur-@:(u)te[V→V]-@~+yug[V→V][V][Intr][Ind][S_3Sg]	ikayuucugtuq
ikayur-@:(u)te[V→V]-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	ikayuutesqaa
ikayur-–sqe[V→V][V][Intr][Ind][S_3Sg]	ikayusquq
ikayur-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	ikayusqaa
alinge-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	alingevkaraa
alike-@+cete/.vkar[V→V][V][Intr][Ind][S_3Sg]	alikevkartuq
alike-@+cete/.vkar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	alikevkaraa
iter-–rraar[V→V]-@+cete/.vkar[V→V][V][Trns][Sbrd][P_3Sg]	itraarcelluku
tuqu-–rraar[V→V]-@+cete/.vkar[V→V][V][Trns][Sbrd][P_3Sg]	tuqurraarcelluku
